,timestamp,customer_no,location
0,07:01,1,entrance
1,07:02,1,fruit
2,07:02,2,entrance
3,07:03,1,fruit
4,07:03,2,fruit
5,07:03,3,entrance
6,07:04,1,drinks
7,07:04,2,fruit
8,07:04,3,spices
9,07:04,4,entrance
10,07:05,1,drinks
11,07:05,2,dairy
12,07:05,3,drinks
13,07:05,4,spices
14,07:05,5,entrance
15,07:06,1,drinks
16,07:06,2,dairy
17,07:06,3,fruit
18,07:06,4,dairy
19,07:06,5,spices
20,07:06,6,entrance
21,07:07,1,fruit
22,07:07,2,dairy
23,07:07,4,dairy
24,07:07,5,drinks
25,07:07,6,dairy
26,07:07,7,entrance
27,07:08,1,fruit
28,07:08,2,dairy
29,07:08,4,dairy
30,07:08,5,drinks
31,07:08,6,dairy
32,07:08,7,spices
33,07:08,8,entrance
34,07:09,1,drinks
35,07:09,2,dairy
36,07:09,4,dairy
37,07:09,5,fruit
38,07:09,6,drinks
39,07:09,7,dairy
40,07:09,8,spices
41,07:09,9,entrance
42,07:10,1,drinks
43,07:10,2,dairy
44,07:10,4,dairy
45,07:10,5,fruit
46,07:10,7,checkout
47,07:10,9,dairy
48,07:10,10,entrance
49,07:11,2,drinks
50,07:11,4,dairy
51,07:11,5,drinks
52,07:11,9,checkout
53,07:11,10,fruit
54,07:11,11,entrance
55,07:12,2,drinks
56,07:12,5,drinks
57,07:12,10,fruit
58,07:12,11,dairy
59,07:12,12,entrance
60,07:13,2,drinks
61,07:13,5,drinks
62,07:13,10,fruit
63,07:13,11,dairy
64,07:13,12,spices
65,07:13,13,entrance
66,07:14,5,checkout
67,07:14,10,spices
68,07:14,11,dairy
69,07:14,12,dairy
70,07:14,13,spices
71,07:14,14,entrance
72,07:15,10,spices
73,07:15,11,dairy
74,07:15,12,dairy
75,07:15,13,spices
76,07:15,14,dairy
77,07:15,15,entrance
78,07:16,10,spices
79,07:16,11,fruit
80,07:16,12,dairy
81,07:16,13,drinks
82,07:16,14,dairy
83,07:16,15,dairy
84,07:16,16,entrance
85,07:17,10,dairy
86,07:17,11,fruit
87,07:17,12,dairy
88,07:17,13,spices
89,07:17,14,dairy
90,07:17,16,dairy
91,07:17,17,entrance
92,07:18,10,dairy
93,07:18,11,fruit
94,07:18,12,dairy
95,07:18,13,spices
96,07:18,14,dairy
97,07:18,16,fruit
98,07:18,17,fruit
99,07:18,18,entrance
100,07:19,10,dairy
101,07:19,12,dairy
102,07:19,13,spices
103,07:19,14,dairy
104,07:19,16,spices
105,07:19,17,spices
106,07:19,18,drinks
107,07:19,19,entrance
108,07:20,10,dairy
109,07:20,12,dairy
110,07:20,13,spices
111,07:20,16,dairy
112,07:20,18,checkout
113,07:20,19,dairy
114,07:20,20,entrance
115,07:21,10,dairy
116,07:21,12,dairy
117,07:21,13,fruit
118,07:21,16,dairy
119,07:21,19,dairy
120,07:21,20,spices
121,07:21,21,entrance
122,07:22,10,dairy
123,07:22,12,dairy
124,07:22,13,fruit
125,07:22,16,dairy
126,07:22,19,dairy
127,07:22,20,spices
128,07:22,21,dairy
129,07:22,22,entrance
130,07:23,10,spices
131,07:23,12,spices
132,07:23,16,dairy
133,07:23,19,dairy
134,07:23,20,dairy
135,07:23,21,dairy
136,07:23,22,fruit
137,07:23,23,entrance
138,07:24,10,spices
139,07:24,12,dairy
140,07:24,16,dairy
141,07:24,19,dairy
142,07:24,21,dairy
143,07:24,22,fruit
144,07:24,23,fruit
145,07:24,24,entrance
146,07:25,10,dairy
147,07:25,12,dairy
148,07:25,16,dairy
149,07:25,19,spices
150,07:25,21,dairy
151,07:25,22,fruit
152,07:25,23,fruit
153,07:25,24,spices
154,07:25,25,entrance
155,07:26,10,dairy
156,07:26,12,fruit
157,07:26,16,dairy
158,07:26,19,spices
159,07:26,21,dairy
160,07:26,23,checkout
161,07:26,24,dairy
162,07:26,25,spices
163,07:26,26,entrance
164,07:27,10,dairy
165,07:27,12,fruit
166,07:27,16,dairy
167,07:27,19,dairy
168,07:27,21,drinks
169,07:27,24,dairy
170,07:27,26,fruit
171,07:27,27,entrance
172,07:28,10,dairy
173,07:28,12,fruit
174,07:28,16,dairy
175,07:28,19,dairy
176,07:28,21,drinks
177,07:28,24,dairy
178,07:28,26,fruit
179,07:28,27,dairy
180,07:28,28,entrance
181,07:29,10,dairy
182,07:29,12,fruit
183,07:29,16,dairy
184,07:29,21,drinks
185,07:29,24,spices
186,07:29,26,dairy
187,07:29,27,dairy
188,07:29,28,spices
189,07:29,29,entrance
190,07:30,10,dairy
191,07:30,12,fruit
192,07:30,16,dairy
193,07:30,24,spices
194,07:30,26,dairy
195,07:30,27,dairy
196,07:30,28,spices
197,07:30,29,spices
198,07:30,30,entrance
199,07:31,10,spices
200,07:31,12,fruit
201,07:31,16,dairy
202,07:31,24,drinks
203,07:31,26,dairy
204,07:31,27,dairy
205,07:31,28,spices
206,07:31,29,dairy
207,07:31,30,fruit
208,07:31,31,entrance
209,07:32,10,dairy
210,07:32,12,fruit
211,07:32,16,fruit
212,07:32,24,drinks
213,07:32,26,dairy
214,07:32,27,dairy
215,07:32,28,fruit
216,07:32,29,dairy
217,07:32,30,spices
218,07:32,31,fruit
219,07:32,32,entrance
220,07:33,12,fruit
221,07:33,24,drinks
222,07:33,26,dairy
223,07:33,27,dairy
224,07:33,28,fruit
225,07:33,29,dairy
226,07:33,30,spices
227,07:33,31,fruit
228,07:33,32,dairy
229,07:33,33,entrance
230,07:34,12,dairy
231,07:34,24,drinks
232,07:34,26,dairy
233,07:34,27,dairy
234,07:34,29,dairy
235,07:34,30,drinks
236,07:34,32,dairy
237,07:34,33,fruit
238,07:34,34,entrance
239,07:35,12,dairy
240,07:35,26,dairy
241,07:35,29,dairy
242,07:35,30,drinks
243,07:35,32,dairy
244,07:35,33,spices
245,07:35,34,drinks
246,07:35,35,entrance
247,07:36,12,dairy
248,07:36,26,dairy
249,07:36,29,dairy
250,07:36,30,drinks
251,07:36,32,dairy
252,07:36,33,drinks
253,07:36,34,fruit
254,07:36,35,dairy
255,07:36,36,entrance
256,07:37,12,dairy
257,07:37,26,dairy
258,07:37,29,dairy
259,07:37,30,drinks
260,07:37,32,dairy
261,07:37,33,drinks
262,07:37,34,fruit
263,07:37,35,dairy
264,07:37,36,dairy
265,07:37,37,entrance
266,07:38,12,dairy
267,07:38,29,spices
268,07:38,30,drinks
269,07:38,32,dairy
270,07:38,34,fruit
271,07:38,35,dairy
272,07:38,36,dairy
273,07:38,37,dairy
274,07:38,38,entrance
275,07:39,12,dairy
276,07:39,29,fruit
277,07:39,32,dairy
278,07:39,34,fruit
279,07:39,36,dairy
280,07:39,37,dairy
281,07:39,38,spices
282,07:39,39,entrance
283,07:40,12,dairy
284,07:40,29,fruit
285,07:40,32,dairy
286,07:40,34,drinks
287,07:40,36,dairy
288,07:40,37,fruit
289,07:40,39,spices
290,07:40,40,entrance
291,07:41,12,dairy
292,07:41,29,fruit
293,07:41,32,dairy
294,07:41,34,drinks
295,07:41,36,dairy
296,07:41,37,fruit
297,07:41,39,spices
298,07:41,40,dairy
299,07:41,41,entrance
300,07:42,12,dairy
301,07:42,29,fruit
302,07:42,32,dairy
303,07:42,34,drinks
304,07:42,36,dairy
305,07:42,37,fruit
306,07:42,39,dairy
307,07:42,40,dairy
308,07:42,41,dairy
309,07:42,42,entrance
310,07:43,12,dairy
311,07:43,29,fruit
