Category: All categories

Week,Pfizer: (United States),Moderna: (United States),Johnson & Johnson: (United States)
2019-01-06,1,<1,2
2019-01-13,1,<1,2
2019-01-20,1,<1,2
2019-01-27,2,<1,2
2019-02-03,1,<1,2
2019-02-10,1,<1,2
2019-02-17,1,<1,2
2019-02-24,1,<1,2
2019-03-03,1,<1,2
2019-03-10,1,<1,2
2019-03-17,1,<1,2
2019-03-24,1,<1,2
2019-03-31,1,<1,2
2019-04-07,1,<1,2
2019-04-14,1,<1,2
2019-04-21,1,<1,2
2019-04-28,2,<1,2
2019-05-05,1,<1,2
2019-05-12,1,<1,2
2019-05-19,1,<1,2
2019-05-26,1,<1,2
2019-06-02,2,<1,2
2019-06-09,1,<1,2
2019-06-16,2,<1,2
2019-06-23,1,<1,2
2019-06-30,1,<1,1
2019-07-07,1,<1,2
2019-07-14,1,<1,2
2019-07-21,1,<1,2
2019-07-28,2,<1,2
2019-08-04,1,<1,2
2019-08-11,1,<1,2
2019-08-18,1,<1,2
2019-08-25,1,<1,7
2019-09-01,1,<1,2
2019-09-08,1,<1,2
2019-09-15,1,<1,2
2019-09-22,1,<1,2
2019-09-29,1,<1,2
2019-10-06,1,<1,3
2019-10-13,1,<1,3
2019-10-20,1,<1,3
2019-10-27,1,<1,2
2019-11-03,1,<1,2
2019-11-10,1,<1,2
2019-11-17,1,<1,2
2019-11-24,1,<1,1
2019-12-01,1,<1,2
2019-12-08,1,<1,2
2019-12-15,1,<1,1
2019-12-22,1,<1,1
2019-12-29,1,<1,1
2020-01-05,1,<1,2
2020-01-12,1,<1,2
2020-01-19,1,<1,2
2020-01-26,1,<1,2
2020-02-02,1,<1,2
2020-02-09,1,<1,2
2020-02-16,1,<1,2
2020-02-23,1,4,2
2020-03-01,2,2,2
2020-03-08,2,2,3
2020-03-15,2,4,3
2020-03-22,2,2,2
2020-03-29,1,2,5
2020-04-05,2,1,3
2020-04-12,1,2,3
2020-04-19,2,2,2
2020-04-26,3,2,2
2020-05-03,3,3,2
2020-05-10,2,3,2
2020-05-17,2,20,3
2020-05-24,1,5,2
2020-05-31,2,4,2
2020-06-07,2,3,2
2020-06-14,2,3,2
2020-06-21,1,3,2
2020-06-28,4,3,2
2020-07-05,3,2,2
2020-07-12,3,18,2
2020-07-19,10,8,2
2020-07-26,6,10,2
2020-08-02,4,6,2
2020-08-09,3,7,2
2020-08-16,3,4,2
2020-08-23,3,4,2
2020-08-30,3,4,2
2020-09-06,3,3,2
2020-09-13,4,3,2
2020-09-20,2,2,3
2020-09-27,3,3,2
2020-10-04,3,2,2
2020-10-11,3,2,4
2020-10-18,4,3,3
2020-10-25,3,2,2
2020-11-01,2,1,1
2020-11-08,48,5,2
2020-11-15,21,23,2
2020-11-22,12,7,2
2020-11-29,21,18,2
2020-12-06,43,14,3
2020-12-13,40,24,3
2020-12-20,21,18,3
2020-12-27,16,16,3
2021-01-03,19,18,3
2021-01-10,22,20,7
2021-01-17,23,22,9
2021-01-24,24,24,16
2021-01-31,23,22,11
2021-02-07,22,21,8
2021-02-14,23,19,7
2021-02-21,27,23,18
2021-02-28,33,26,44
2021-03-07,41,29,48
2021-03-14,44,30,39
2021-03-21,47,31,37
2021-03-28,57,34,51
2021-04-04,61,34,71
2021-04-11,70,37,100
2021-04-18,50,28,23
2021-04-25,46,23,20
2021-05-02,42,20,16
2021-05-09,41,17,16
2021-05-16,31,14,17
2021-05-23,23,11,12
2021-05-30,19,9,11
2021-06-06,20,8,11
2021-06-13,16,7,10
2021-06-20,16,7,9
2021-06-27,17,8,11
2021-07-04,19,6,10
2021-07-11,18,8,21
2021-07-18,24,11,16
2021-07-25,27,12,13
2021-08-01,32,15,16
2021-08-08,36,18,16
2021-08-15,32,17,18
2021-08-22,64,17,17
2021-08-29,32,14,12
2021-09-05,26,12,11
2021-09-12,26,12,12
2021-09-19,29,11,12
2021-09-26,28,11,10
2021-10-03,26,12,11
2021-10-10,21,12,11
2021-10-17,21,13,15
2021-10-24,20,13,12
2021-10-31,30,12,10
2021-11-07,28,11,12
2021-11-14,24,10,10
2021-11-21,17,8,7
