species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,name,lat,lon
Adelie,Torgersen,39.1,18.7,181,3750,Male,Michael Pearson,-64.50629278,-63.72372071
Adelie,Torgersen,39.5,17.4,186,3800,Female,Denise Scott,-64.45139154,-63.73697497
Adelie,Torgersen,40.3,18,195,3250,Female,Mary Turner,-64.47946584,-63.69680824
Adelie,Torgersen,36.7,19.3,193,3450,Female,Daniel Valenzuela,-64.47393602,-63.73835711
Adelie,Torgersen,39.3,20.6,190,3650,Male,David Brock,-64.46092724,-63.70323114
Adelie,Torgersen,38.9,17.8,181,3625,Female,Brittany Arnold,-64.46600648,-63.72898683
Adelie,Torgersen,39.2,19.6,195,4675,Male,Carmen Pearson,-64.47597102,-63.7263335
Adelie,Torgersen,41.1,17.6,182,3200,Female,Catherine Davis,-64.4535973,-63.72448888
Adelie,Torgersen,38.6,21.2,191,3800,Male,Kayla Lee,-64.47862779,-63.69186272
Adelie,Torgersen,34.6,21.1,198,4400,Male,Daniel Yates,-64.49734956,-63.71951987
Adelie,Torgersen,36.6,17.8,185,3700,Female,Ashley Meyers,-64.45343627,-63.70772391
Adelie,Torgersen,38.7,19,195,3450,Female,Douglas Johnson,-64.48212127,-63.72869356
Adelie,Torgersen,42.5,20.7,197,4500,Male,Ashley Fox,-64.52392877,-63.71159815
Adelie,Torgersen,34.4,18.4,184,3325,Female,John Jennings,-64.48138426,-63.70661247
Adelie,Torgersen,46,21.5,194,4200,Male,Jordan Washington,-64.4979096,-63.74890949
Adelie,Biscoe,37.8,18.3,174,3400,Female,Kyle Davis,-64.74149989,-63.76136618
Adelie,Biscoe,37.7,18.7,180,3600,Male,David Grimes,-64.73895162,-63.77793365
Adelie,Biscoe,35.9,19.2,189,3800,Female,Andrea Thomas,-64.71317382,-63.75573647
Adelie,Biscoe,38.2,18.1,185,3950,Male,Laura Smith,-64.71827892,-63.76803902
Adelie,Biscoe,38.8,17.2,180,3800,Male,Terry Henderson,-64.74408014,-63.81773761
Adelie,Biscoe,35.3,18.9,187,3800,Female,Keith Crosby,-64.72488022,-63.79606627
Adelie,Biscoe,40.6,18.6,183,3550,Male,Eric Lopez,-64.7564255,-63.79918027
Adelie,Biscoe,40.5,17.9,187,3200,Female,Julie Scott,-64.73542886,-63.76968368
Adelie,Biscoe,37.9,18.6,172,3150,Female,Andrew Edwards,-64.73635733,-63.78323811
Adelie,Biscoe,40.5,18.9,180,3950,Male,Ms. Diane Mayer,-64.74445534,-63.82734831
Adelie,Dream,39.5,16.7,178,3250,Female,David Johnson,-64.74109668,-64.20697393
Adelie,Dream,37.2,18.1,178,3900,Male,Cristian Hall,-64.75536468,-64.24392465
Adelie,Dream,39.5,17.8,188,3300,Female,Deborah Wright,-64.72907597,-64.21611131
Adelie,Dream,40.9,18.9,184,3900,Male,Sylvia Carter,-64.71034499,-64.20173331
Adelie,Dream,36.4,17,195,3325,Female,Jackie Hoffman,-64.72389974,-64.23101027
Adelie,Dream,39.2,21.1,196,4150,Male,Terri Todd,-64.75093374,-64.19302708
Adelie,Dream,38.8,20,190,3950,Male,Sarah Richardson,-64.68666071,-64.20202499
Adelie,Dream,42.2,18.5,180,3550,Female,Tyler Gardner,-64.69393382,-64.17778696
Adelie,Dream,37.6,19.3,181,3300,Female,Emily Herman,-64.70607431,-64.19142421
Adelie,Dream,39.8,19.1,184,4650,Male,Danielle Peck,-64.68491808,-64.24251809
Adelie,Dream,36.5,18,182,3150,Female,Gerald Baker,-64.70892157,-64.220329
Adelie,Dream,40.8,18.4,195,3900,Male,Curtis Schwartz,-64.75450707,-64.27189588
Adelie,Dream,36,18.5,186,3100,Female,David West,-64.7319106,-64.21950045
Adelie,Dream,44.1,19.7,196,4400,Male,Jamie Glover,-64.70733106,-64.25011674
Adelie,Dream,37,16.9,185,3000,Female,Jacob Coleman,-64.71970545,-64.22007413
Adelie,Dream,39.6,18.8,190,4600,Male,Daniel Thomas,-64.71366903,-64.24615799
Adelie,Dream,41.1,19,182,3425,Male,Bridget Barnett,-64.74797335,-64.23724091
Adelie,Dream,36,17.9,190,3450,Female,Timothy Douglas,-64.72599733,-64.17112863
Adelie,Dream,42.3,21.2,191,4150,Male,Amber Russell,-64.72041822,-64.20999637
Adelie,Biscoe,39.6,17.7,186,3500,Female,John Mahoney,-64.72146849,-63.77538973
Adelie,Biscoe,40.1,18.9,188,4300,Male,Amy Frazier,-64.72473809,-63.78651241
Adelie,Biscoe,35,17.9,190,3450,Female,Kimberly Davis,-64.75007757,-63.78419746
Adelie,Biscoe,42,19.5,200,4050,Male,Jessica Hooper,-64.76995814,-63.79338024
Adelie,Biscoe,34.5,18.1,187,2900,Female,Sandra Velazquez,-64.71775137,-63.78854211
Adelie,Biscoe,41.4,18.6,191,3700,Male,Riley Torres,-64.74292409,-63.77357124
Adelie,Biscoe,39,17.5,186,3550,Female,James Chapman,-64.72817323,-63.80272936
Adelie,Biscoe,40.6,18.8,193,3800,Male,Jerry Mueller,-64.72209171,-63.78153731
Adelie,Biscoe,36.5,16.6,181,2850,Female,Joseph Phillips DVM,-64.74260783,-63.77606033
